--> Time-of-Flight Data Log <--
Timestamp, Distance(m)
16:40:23.183867,10.3
16:40:23.607282,1.63
16:40:23.807265,10.26
16:40:24.287773,0.0
16:40:24.771524,7.3
16:40:25.069164,5.58
16:40:25.832462,3.38
16:40:26.146428,9.86
16:40:26.488070,10.26
16:40:27.007854,10.48
16:40:27.706255,10.56
16:40:28.341133,10.12
16:40:28.631960,10.19
16:40:29.115293,10.04
16:40:29.494124,10.56
16:40:29.879088,9.97
16:40:30.139971,0.0
16:40:30.980549,10.67
16:40:31.289464,3.57
16:40:31.652187,9.86
16:40:32.067240,9.75
16:40:32.330311,9.9
16:40:33.289775,10.26
16:40:33.713024,3.38
16:40:34.831045,9.86
16:40:35.156702,9.42
16:40:35.455921,9.9
16:40:36.345717,5.36
16:40:36.633108,9.86
16:40:38.602837,9.9
16:40:38.951680,10.15
16:40:39.599730,9.93
16:40:40.325821,9.53
16:40:40.701367,9.79
16:40:41.024987,9.79
16:40:41.981507,9.97
16:40:42.442362,9.9
16:40:42.852400,9.82
16:40:43.153485,9.97
16:40:43.452330,7.48
16:40:43.749386,9.68
16:40:44.015397,9.82
16:40:44.295165,0.0
16:40:44.703654,0.16
16:40:45.544579,10.01
16:40:45.916747,9.82
16:40:46.088575,9.64
16:40:46.534468,9.5
16:40:46.911381,9.9
16:40:47.059883,9.93
16:40:47.483572,0.0
16:40:47.724776,9.68
16:40:48.197191,9.57
16:40:49.025941,9.93
16:40:49.415220,5.51
16:40:49.750629,5.51
16:40:50.094886,3.2
16:40:50.652741,9.35
16:40:50.842979,5.03
16:40:51.476004,9.64
16:40:51.800526,9.31
16:40:52.794539,6.9
16:40:52.987158,2.87
16:40:53.522345,9.57
16:40:53.764809,4.85
16:40:54.220643,9.71
16:40:54.487237,9.86
16:40:55.380886,10.19
16:40:55.674750,1.0
16:40:55.996532,9.9
16:40:56.423174,9.79
16:40:57.108751,0.0
16:40:57.548834,10.3
16:40:57.845670,10.41
16:40:58.132222,0.89
16:40:58.638271,9.57
16:40:59.283609,9.28
16:40:59.486241,0.0
16:40:59.974989,9.9
16:41:00.317790,1.15
16:41:00.559375,0.42
16:41:01.419746,4.11
16:41:01.769542,0.0
16:41:02.815453,2.1
16:41:03.163623,9.68
16:41:03.716302,9.75
16:41:04.220569,0.0
16:41:04.380446,10.08
16:41:04.814313,9.5
16:41:05.159075,5.51
16:41:05.472860,9.71
16:41:05.694412,9.93
16:41:06.097034,7.56
16:41:06.991403,9.5
16:41:07.563586,9.86
16:41:07.899392,5.36
16:41:08.604091,9.79
16:41:09.075323,9.93
16:41:09.354133,7.48
16:41:09.720794,10.08
16:41:10.063584,9.97
16:41:10.612572,9.97
16:41:10.895130,9.82
16:41:12.405639,10.45
16:41:12.628584,10.15
16:41:12.993985,10.12
16:41:13.197116,10.15
16:41:13.460493,7.92
16:41:13.914844,10.23
16:41:14.324403,10.23
16:41:14.653058,9.82
16:41:15.225635,9.57
16:41:15.796153,9.64
16:41:16.081348,9.64
16:41:17.095690,9.82
16:41:17.420998,10.12
16:41:17.816568,0.0
16:41:18.108844,9.9
16:41:18.514825,0.0
16:41:18.641271,9.64
16:41:19.530436,9.57
16:41:19.898363,0.31
16:41:20.194731,5.87
16:41:20.410234,0.0
16:41:21.002751,9.75
16:41:21.348788,0.16
16:41:21.708504,9.9
16:41:22.273085,9.75
16:41:22.872672,0.0
16:41:23.520550,0.71
16:41:23.859251,5.83
16:41:24.179422,0.2
16:41:24.379422,5.8
16:41:24.668331,7.81
16:41:25.088237,0.78
16:41:25.432440,9.82
16:41:25.891550,9.97
16:41:26.168832,9.79
